Car No.	School Name	Team Name	Status	Adjusted Time	Raw Time	Penalty
83	California Polytechnic State Univ-SLO	Cal Poly Racing	OK	61.00000	61.00000	0
101	Harding Univ	Bison Baja	OK	67.66200	67.66200	0
101	Harding Univ	Bison Baja	OK	80.45200	80.45200	0
11	Georgia Southern Univ	Eagle Motorsports	OK	57.70800	57.70800	0
19	Universidad Autonoma de Ciudad Juarez	Indios Racing	DQ	0.00000	0.00000	0
11	Georgia Southern Univ	Eagle Motorsports	OK	55.73400	55.73400	0
22	Univ of Texas - Pan American	Baja Racing at UTPA	OK	71.29900	71.29900	0
27	Univ of Calif - Los Angeles	UCLA Racing	DQ	0.00000	0.00000	0
19	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	97.16300	97.16300	0
42	Auburn Univ	War Eagle Motorsports	OK	62.74200	62.74200	0
4	Cornell Univ	BIG RED RACING	OK	60.40600	60.40600	0
42	Auburn Univ	War Eagle Motorsports	OK	59.73300	59.73300	0
66	Purdue Univ - Calumet	PUC Motorsports	DQ	0.00000	0.00000	0
44	Univ of Notre Dame	Irish Racing	DQ	0.00000	0.00000	0
3	Iowa State Univ	Cyclone Racing	OK	60.18000	60.18000	0
56	Univ of Tennessee - Martin	Skyhawk Racing	OK	64.66200	64.66200	0
100	Northeastern Univ	Skunkworks	OK	81.02100	81.02100	0
100	Northeastern Univ	Skunkworks	OK	86.22600	86.22600	0
22	Univ of Texas - Pan American	Baja Racing at UTPA	DQ	0.00000	0.00000	0
12	North Carolina State Univ - Raleigh	Wolfpack Motorsports	DQ	0.00000	0.00000	0
2	Univ of Michigan - Ann Arbor	Maize	OK	59.51300	59.51300	0
48	Bucknell Univ	Bucknell MotoWorks	OK	95.69800	95.69800	0
89	Oregon State Univ	Beaver Racing	OK	65.68300	65.68300	0
71	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	91.31000	91.31000	0
93	Louisiana State Univ	Baja Bengals	DQ	0.00000	0.00000	0
16	San Diego State Univ	Aztec Racing	DQ	0.00000	0.00000	0
4	Cornell Univ	BIG RED RACING	OK	60.00900	60.00900	0
2	Univ of Michigan - Ann Arbor	Maize	OK	57.40500	57.40500	0
16	San Diego State Univ	Aztec Racing	OK	66.21600	66.21600	0
27	Univ of Calif - Los Angeles	UCLA Racing	OK	59.72700	59.72700	0
71	Univ of Arkansas - Fayetteville	Racing Razorbacks	OK	89.98600	89.98600	0
93	Louisiana State Univ	Baja Bengals	OK	78.21500	78.21500	0
64	Clemson Univ	CU Baja Racing	DQ	0.00000	0.00000	0
95	Tennessee Tech Univ	TTU Baja	OK	62.24600	62.24600	0
10	Polytechnique Montréal	poly mud bees	OK	67.38100	67.38100	0
83	California Polytechnic State Univ-SLO	Cal Poly Racing	DQ	0.00000	0.00000	0
48	Bucknell Univ	Bucknell MotoWorks	DQ	0.00000	0.00000	0
70	Michigan State Univ	MSU	OK	64.16000	64.16000	0
5	Rochester Institute of Technology	RIOT RACING	OK	79.52700	79.52700	0
55	Univ of Wisconsin - Stout	Blue Devil Racing	OK	114.57400	114.57400	0
95	Tennessee Tech Univ	TTU Baja	OK	62.46900	62.46900	0
12	North Carolina State Univ - Raleigh	Wolfpack Motorsports	OK	66.57400	66.57400	0
64	Clemson Univ	CU Baja Racing	DQ	0.00000	0.00000	0
108	California State Poly Univ - Pomona	Cal Poly Pomona Baja SAE	OK	106.53600	106.53600	0
35	Clarkson University	Golden Knights Racing	OK	119.32700	119.32700	0
108	California State Poly Univ - Pomona	Cal Poly Pomona Baja SAE	OK	67.21100	67.21100	0
73	Univ of Illinois - Urbana Champaign	Off-Road Illini	DQ	0.00000	0.00000	0
55	Univ of Wisconsin - Stout	Blue Devil Racing	DQ	0.00000	0.00000	0
73	Univ of Illinois - Urbana Champaign	Off-Road Illini	OK	87.08500	87.08500	0
105	University of Mount Union	UMU Baja	OK	73.36200	73.36200	0
35	Clarkson University	Golden Knights Racing	OK	84.04400	84.04400	0
6	Ecole De Technologie Superieure	ETS Motorsports	DQ	0.00000	0.00000	0
41	Univ of Wisconsin - Madison	SAE Baja - UW Madison	OK	62.98500	62.98500	0
20	LeTourneau Univ	Renegade Racing	OK	66.12300	66.12300	0
23	Ohio Northern Univ	Polar Bear Racing	OK	73.44400	73.44400	0
20	LeTourneau Univ	Renegade Racing	OK	67.41800	67.41800	0
76	Arizona State Univ Polytechnic	Sun Devil Racing Development	OK	68.97200	68.97200	0
41	Univ of Wisconsin - Madison	SAE Baja - UW Madison	OK	59.42400	59.42400	0
30	Johns Hopkins Univ	Hopkins Baja	OK	69.79500	69.79500	0
91	Case Western Reserve Univ	CWRU Motorsports	OK	73.66700	73.66700	0
88	Florida Inst of Tech	Florida Tech Motorsports	OK	113.54900	113.54900	0
53	SRM Engineering College	The Conrods Off-Road Racing	OK	87.79100	87.79100	0
88	Florida Inst of Tech	Florida Tech Motorsports	OK	86.94400	86.94400	0
89	Oregon State Univ	Beaver Racing	OK	59.82800	59.82800	0
30	Johns Hopkins Univ	Hopkins Baja	OK	78.78700	78.78700	0
91	Case Western Reserve Univ	CWRU Motorsports	OK	68.38400	68.38400	0
21	SUNY Inst of Tech - Utica	Wildcat Motorsports	DQ	0.00000	0.00000	0
23	Ohio Northern Univ	Polar Bear Racing	DQ	0.00000	0.00000	0
65	Louisiana Tech Univ	Mud Dawg Racing	DQ	0.00000	0.00000	0
21	SUNY Inst of Tech - Utica	Wildcat Motorsports	OK	123.00800	123.00800	0
76	Arizona State Univ Polytechnic	Sun Devil Racing Development	OK	63.36600	63.36600	0
50	Southern Illinois Univ at Carbondale	Saluki Baja	OK	167.22500	167.22500	0
80	Lipscomb Univ	Lipscomb Motorsports	OK	97.54500	97.54500	0
80	Lipscomb Univ	Lipscomb Motorsports	OK	94.50500	94.50500	0
68	Middle Tennessee State Univ	MTSU Motorsports	OK	123.33700	123.33700	0
85	Univ of Evansville	Aces baja	OK	108.75400	108.75400	0
50	Southern Illinois Univ at Carbondale	Saluki Baja	DQ	0.00000	0.00000	0
37	Universite de Sherbrooke	Sherbrooke Racing Team	DQ	0.00000	0.00000	0
25	Pittsburg State University	Diddy Kong Racing	OK	101.43100	101.43100	0
26	Florida A&M Univ/Florida State Univ	F-Racing	OK	109.27000	109.27000	0
75	Grove City College	Grove City Racing	OK	73.63700	73.63700	0
57	Youngstown State Univ	Penguin Powersports	OK	103.63400	103.63400	0
3	Iowa State Univ	Cyclone Racing	DQ	0.00000	0.00000	0
68	Middle Tennessee State Univ	MTSU Motorsports	OK	110.72500	110.72500	0
37	Universite de Sherbrooke	Sherbrooke Racing Team	DQ	0.00000	0.00000	0
85	Univ of Evansville	Aces baja	OK	91.06000	91.06000	0
25	Pittsburg State University	Diddy Kong Racing	OK	97.24900	97.24900	0
99	Embry-Riddle Aero Univ - Daytona Beach	Embry-Riddle Lady Eagles	DQ	0.00000	0.00000	0
75	Grove City College	Grove City Racing	OK	70.21300	70.21300	0
87	US Military Academy	Army Motorsports	DQ	0.00000	0.00000	0
99	Embry-Riddle Aero Univ - Daytona Beach	Embry-Riddle Lady Eagles	OK	102.82500	102.82500	0
111	Univ of Cincinnati	Bearcats Baja	OK	154.31500	154.31500	0
59	Univ of Rochester	Yellowjacket Racing	DQ	0.00000	0.00000	0
10	Polytechnique Montréal	poly mud bees	DQ	0.00000	0.00000	0
40	Vellore Institute of Technology	Team Jaabaz	OK	150.46700	150.46700	0
6	Ecole De Technologie Superieure	ETS Motorsports	OK	80.68100	80.68100	0
39	Univ of Akron	Zips Baja	DQ	0.00000	0.00000	0
111	Univ of Cincinnati	Bearcats Baja	OK	78.99300	78.99300	0
14	Cleveland State Univ	Viking Racing	OK	85.31800	85.31800	0
57	Youngstown State Univ	Penguin Powersports	DQ	0.00000	0.00000	0
39	Univ of Akron	Zips Baja	DQ	0.00000	0.00000	0
14	Cleveland State Univ	Viking Racing	OK	91.92500	91.92500	0
15	Virginia Tech	VT Baja	OK	108.35200	108.35200	0
52	Miami Univ	Redhawk Racing	OK	63.99000	63.99000	0
43	Kettering Univ	Bulldog Racing	OK	69.43500	69.43500	0
59	Univ of Rochester	Yellowjacket Racing	OK	87.04400	87.04400	0
