Car No.	School / Team Name	Status	Eval. Score	Penalty Points	Final Score
84	Universidad De La Salle Bajio Bajio 1	OK	85.00	0.00	98.00
36	Univ of Central Florida KnightsRacing	OK	83.00	0.00	97.00
30	Johns Hopkins Univ Hopkins Baja	OK	74.00	0.00	89.00
4	Cornell Univ BIG RED RACING	OK	73.00	0.00	88.00
2	Univ of Michigan - Ann Arbor Maize	OK	84.00	0.00	86.00
29	Univ of Maryland - Baltimore County UMBC Racing	OK	75.00	0.00	86.00
16	San Diego State Univ Aztec Racing	OK	70.00	0.00	85.00
79	Virginia Western Comm Coll VWCC Motorsports	OK	77.00	0.00	85.00
12	North Carolina State Univ - Raleigh Wolfpack Motorsports	OK	74.00	0.00	84.00
54	SUNY - Buffalo UB Motorsports	OK	70.00	0.00	84.00
76	Arizona State Univ Polytechnic Sun Devil Racing Development	OK	71.00	0.00	84.00
83	California Polytechnic State Univ-SLO Cal Poly Racing	OK	70.00	0.00	84.00
89	Oregon State Univ Beaver Racing	OK	75.00	0.00	84.00
41	Univ of Wisconsin - Madison SAE Baja - UW Madison	OK	74.00	1.00	82.00
59	Univ of Rochester Yellowjacket Racing	OK	70.00	0.00	81.00
100	Northeastern Univ Skunkworks	OK	67.00	0.00	80.00
10	Polytechnique Montréal poly mud bees	OK	64.00	0.00	79.00
5	Rochester Institute of Technology RIOT RACING	OK	64.00	0.00	78.00
23	Ohio Northern Univ Polar Bear Racing	OK	62.00	0.00	77.00
42	Auburn Univ War Eagle Motorsports	OK	62.00	0.00	77.00
43	Kettering Univ Bulldog Racing	OK	64.00	0.00	76.00
101	Harding Univ Bison Baja	OK	64.00	0.00	74.00
3	Iowa State Univ Cyclone Racing	OK	58.00	0.00	73.00
40	Vellore Institute of Technology Team Jaabaz	OK	58.00	0.00	73.00
14	Cleveland State Univ Viking Racing	OK	68.00	0.00	72.00
27	Univ of Calif - Los Angeles UCLA Racing	OK	58.00	0.00	72.00
108	California State Poly Univ - Pomona Cal Poly Pomona Baja SAE	OK	57.00	0.00	72.00
64	Clemson Univ CU Baja Racing	OK	62.00	0.00	71.00
63	Univ of Missouri - Kansas City UMKC Baja Racing	OK	56.00	0.00	69.00
28	Wichita State Univ Shocker Racing	OK	63.00	0.00	68.00
45	Univ of Alabama - Tuscaloosa Bama Racing	OK	65.00	0.00	68.00
37	Universite de Sherbrooke Sherbrooke Racing Team	OK	51.00	0.00	66.00
18	Queen's Univ - Ontario Canada Queen's University Baja SAE Design Team	OK	50.00	0.00	65.00
90	Michigan Tech Univ Blizzard Baja	OK	53.00	0.00	64.00
95	Tennessee Tech Univ TTU Baja	OK	49.00	0.00	63.00
25	Pittsburg State University Diddy Kong Racing	OK	59.00	0.00	62.00
105	University of Mount Union UMU Baja	OK	51.00	0.00	62.00
75	Grove City College Grove City Racing	OK	50.00	0.00	61.00
51	Northern Kentucky Univ Norse Baja	OK	52.00	0.00	59.00
56	Univ of Tennessee - Martin Skyhawk Racing	OK	51.00	0.00	59.00
19	Universidad Autonoma de Ciudad Juarez Indios Racing	OK	57.00	1.00	58.00
32	Olin College of Engineering Phoenix Racing	OK	50.00	0.00	58.00
11	Georgia Southern Univ Eagle Motorsports	OK	45.00	0.00	57.00
86	North Carolina A & T State Univ Aggie Racing	OK	48.00	0.00	56.00
48	Bucknell Univ Bucknell MotoWorks	OK	44.00	0.00	55.00
73	Univ of Illinois - Urbana Champaign Off-Road Illini	OK	43.00	0.00	55.00
80	Lipscomb Univ Lipscomb Motorsports	OK	41.00	0.00	54.00
62	Central Michigan Univ Chippewa Performance	OK	46.00	0.00	53.00
22	Univ of Texas - Pan American Baja Racing at UTPA	OK	40.00	0.00	52.00
50	Southern Illinois Univ at Carbondale Saluki Baja	OK	36.00	0.00	49.00
32	Olin College of Engineering Phoenix Racing	OK	48.33	0.00	48.33
27	Univ of Calif - Los Angeles UCLA Racing	OK	48.00	0.00	48.00
86	North Carolina A & T State Univ Aggie Racing	OK	47.33	0.00	47.33
15	Virginia Tech VT Baja	OK	45.00	0.00	47.00
44	Univ of Notre Dame Irish Racing	OK	37.00	0.00	47.00
37	Universite de Sherbrooke Sherbrooke Racing Team	OK	46.00	0.00	46.00
56	Univ of Tennessee - Martin Skyhawk Racing	OK	46.00	0.00	46.00
34	West Virginia Univ Inst of Tech WVU TECH	OK	37.00	0.00	46.00
57	Youngstown State Univ Penguin Powersports	OK	33.00	0.00	46.00
41	Univ of Wisconsin - Madison SAE Baja - UW Madison	OK	45.67	0.00	45.67
100	Northeastern Univ Skunkworks	OK	45.67	0.00	45.67
39	Univ of Akron Zips Baja	OK	39.00	1.00	45.00
111	Univ of Cincinnati Bearcats Baja	OK	36.00	0.00	45.00
76	Arizona State Univ Polytechnic Sun Devil Racing Development	OK	44.67	0.00	44.67
83	California Polytechnic State Univ-SLO Cal Poly Racing	OK	44.50	0.00	44.50
5	Rochester Institute of Technology RIOT RACING	OK	44.25	0.00	44.25
29	Univ of Maryland - Baltimore County UMBC Racing	OK	44.00	0.00	44.00
4	Cornell Univ BIG RED RACING	OK	43.33	0.00	43.33
110	Universidad Autonoma Estado Mexico Sara Juana RT	OK	43.33	0.00	43.33
85	Univ of Evansville Aces baja	OK	33.00	0.00	43.00
3	Iowa State Univ Cyclone Racing	OK	42.67	0.00	42.67
91	Case Western Reserve Univ CWRU Motorsports	OK	42.67	0.00	42.67
93	Louisiana State Univ Baja Bengals	OK	32.00	0.00	42.00
63	Univ of Missouri - Kansas City UMKC Baja Racing	OK	41.25	0.00	41.25
72	Delhi Technological Univ Deltech Baja	OK	41.17	0.00	41.17
62	Central Michigan Univ Chippewa Performance	OK	41.00	0.00	41.00
52	Miami Univ Redhawk Racing	OK	28.00	0.00	41.00
89	Oregon State Univ Beaver Racing	OK	40.75	0.00	40.75
55	Univ of Wisconsin - Stout Blue Devil Racing	OK	38.00	0.00	40.00
54	SUNY - Buffalo UB Motorsports	OK	39.33	0.00	39.33
88	Florida Inst of Tech Florida Tech Motorsports	OK	38.75	0.00	38.75
31	Univ of Southern Indiana USI Screamin' Eagles	OK	38.67	0.00	38.67
22	Univ of Texas - Pan American Baja Racing at UTPA	OK	38.33	0.00	38.33
30	Johns Hopkins Univ Hopkins Baja	OK	38.25	0.00	38.25
53	SRM Engineering College The Conrods Off-Road Racing	OK	38.00	0.00	38.00
6	Ecole De Technologie Superieure ETS Motorsports	OK	25.00	0.00	38.00
40	Vellore Institute of Technology Team Jaabaz	OK	37.75	0.00	37.75
10	Polytechnique Montréal poly mud bees	OK	37.67	0.00	37.67
28	Wichita State Univ Shocker Racing	OK	37.67	0.00	37.67
50	Southern Illinois Univ at Carbondale Saluki Baja	OK	37.67	0.00	37.67
70	Michigan State Univ MSU	OK	37.50	0.00	37.50
49	Univ of Cairo BCURT	OK	37.00	0.00	37.00
20	LeTourneau Univ Renegade Racing	OK	36.33	0.00	36.33
85	Univ of Evansville Aces baja	OK	35.67	0.00	35.67
108	California State Poly Univ - Pomona Cal Poly Pomona Baja SAE	OK	35.67	0.00	35.67
75	Grove City College Grove City Racing	OK	35.50	0.00	35.50
26	Florida A&M Univ/Florida State Univ F-Racing	OK	35.33	0.00	35.33
42	Auburn Univ War Eagle Motorsports	OK	35.33	0.00	35.33
39	Univ of Akron Zips Baja	OK	35.00	0.00	35.00
45	Univ of Alabama - Tuscaloosa Bama Racing	OK	35.00	0.00	35.00
91	Case Western Reserve Univ CWRU Motorsports	OK	26.00	1.00	35.00
71	Univ of Arkansas - Fayetteville Racing Razorbacks	OK	34.75	0.00	34.75
95	Tennessee Tech Univ TTU Baja	OK	34.75	0.00	34.75
2	Univ of Michigan - Ann Arbor Maize	OK	34.67	0.00	34.67
93	Louisiana State Univ Baja Bengals	OK	34.33	0.00	34.33
64	Clemson Univ CU Baja Racing	OK	33.25	0.00	33.25
23	Ohio Northern Univ Polar Bear Racing	OK	33.00	0.00	33.00
15	Virginia Tech VT Baja	OK	32.25	0.00	32.25
105	University of Mount Union UMU Baja	OK	31.50	0.00	31.50
58	PEC University of Technology TEAM RPM	OK	31.25	0.00	31.25
19	Universidad Autonoma de Ciudad Juarez Indios Racing	OK	31.00	0.00	31.00
48	Bucknell Univ Bucknell MotoWorks	OK	31.00	0.00	31.00
59	Univ of Rochester Yellowjacket Racing	OK	31.00	0.00	31.00
84	Universidad De La Salle Bajio Bajio 1	OK	31.00	0.00	31.00
79	Virginia Western Comm Coll VWCC Motorsports	OK	30.67	0.00	30.67
87	US Military Academy Army Motorsports	OK	30.33	0.00	30.33
16	San Diego State Univ Aztec Racing	OK	30.00	0.00	30.00
101	Harding Univ Bison Baja	OK	28.50	0.00	28.50
11	Georgia Southern Univ Eagle Motorsports	OK	27.67	0.00	27.67
73	Univ of Illinois - Urbana Champaign Off-Road Illini	OK	27.33	0.00	27.33
36	Univ of Central Florida KnightsRacing	OK	27.00	0.00	27.00
6	Ecole De Technologie Superieure ETS Motorsports	OK	26.67	0.00	26.67
43	Kettering Univ Bulldog Racing	OK	26.00	0.00	26.00
97	Univ of Tennessee -Chattanooga UTC Racing Mocs	OK	25.75	0.00	25.75
35	Clarkson University Golden Knights Racing	OK	25.67	0.00	25.67
18	Queen's Univ - Ontario Canada Queen's University Baja SAE Design Team	OK	25.33	0.00	25.33
70	Michigan State Univ MSU	OK	10.00	0.00	25.00
51	Northern Kentucky Univ Norse Baja	OK	24.50	0.00	24.50
77	Rowan Univ Rowan Motorsports	OK	24.25	0.00	24.25
12	North Carolina State Univ - Raleigh Wolfpack Motorsports	OK	23.67	0.00	23.67
44	Univ of Notre Dame Irish Racing	OK	23.67	0.00	23.67
90	Michigan Tech Univ Blizzard Baja	OK	22.75	0.00	22.75
25	Pittsburg State University Diddy Kong Racing	OK	21.67	0.00	21.67
55	Univ of Wisconsin - Stout Blue Devil Racing	OK	20.67	0.00	20.67
99	Embry-Riddle Aero Univ - Daytona Beach Embry-Riddle Lady Eagles	OK	20.00	0.00	20.00
65	Louisiana Tech Univ Mud Dawg Racing	OK	19.33	0.00	19.33
35	Clarkson University Golden Knights Racing	OK	5.00	0.00	18.00
66	Purdue Univ - Calumet PUC Motorsports	OK	17.67	0.00	17.67
80	Lipscomb Univ Lipscomb Motorsports	OK	17.67	0.00	17.67
52	Miami Univ Redhawk Racing	OK	17.50	0.00	17.50
57	Youngstown State Univ Penguin Powersports	OK	17.50	0.00	17.50
126	Univ of South Carolina University of South Carolina	OK	16.75	0.00	16.75
21	SUNY Inst of Tech - Utica Wildcat Motorsports	OK	16.00	0.00	16.00
99	Embry-Riddle Aero Univ - Daytona Beach Embry-Riddle Lady Eagles	OK	5.00	0.00	16.00
92	Univ of Arkansas- Fort Smith UAFS	OK	15.67	0.00	15.67
47	Ohio State Univ Baja Buckeyes	OK	14.33	0.00	14.33
31	Univ of Southern Indiana USI Screamin' Eagles	OK	0.00	0.00	13.00
72	Delhi Technological Univ Deltech Baja	OK	0.00	0.00	13.00
111	Univ of Cincinnati Bearcats Baja	OK	12.00	0.00	12.00
34	West Virginia Univ Inst of Tech WVU TECH	OK	10.33	0.00	10.33
33	Kansas State Univ Wildcat Offroad	OK	0.00	0.00	9.00
60	Univ of Virginia Virginia Baja Racing	OK	0.00	1.00	7.00
49	Univ of Cairo BCURT	OK	0.00	0.00	6.00
61	Penn State Univ - Harrisburg Car RamRod	OK	0.00	0.00	6.00
77	Rowan Univ Rowan Motorsports	OK	0.00	1.00	6.00
97	Univ of Tennessee -Chattanooga UTC Racing Mocs	OK	0.00	1.00	6.00
20	LeTourneau Univ Renegade Racing	OK	0.00	0.00	5.00
53	SRM Engineering College The Conrods Off-Road Racing	OK	0.00	0.00	5.00
67	Univ of Louisville Speed Motorsports	OK	0.00	0.00	4.00
46	GB Pantnagar Univ of Agriculture & Tech COTmoKRATS	OK	0.00	0.00	3.00
71	Univ of Arkansas - Fayetteville Racing Razorbacks	OK	0.00	0.00	3.00
21	SUNY Inst of Tech - Utica Wildcat Motorsports	OK	0.00	0.00	2.00
14	Cleveland State Univ Viking Racing	OK	0.00	0.00	0.00
17	Hindustan University STALWARTZ RACING	OK	0.00	0.00	0.00
24	Manhattan College Jasper Racing	OK	0.00	0.00	0.00
33	Kansas State Univ Wildcat Offroad	OK	0.00	0.00	0.00
46	GB Pantnagar Univ of Agriculture & Tech COTmoKRATS	OK	0.00	0.00	0.00
60	Univ of Virginia Virginia Baja Racing	OK	0.00	0.00	0.00
61	Penn State Univ - Harrisburg Car RamRod	OK	0.00	0.00	0.00
68	Middle Tennessee State Univ MTSU Motorsports	OK	0.00	0.00	0.00
67	Univ of Louisville Speed Motorsports	OK	0.00	0.00	0.00
81	Univ of New Orleans UNO	OK	0.00	0.00	0.00
94	Kansas State Univ - Salina Baja Salina	OK	0.00	0.00	0.00
98	Christian Brothers Univ Mud Bucs	OK	0.00	0.00	0.00
103	Illinois Institute of Technology IIT Motorsports	OK	0.00	0.00	0.00
107	Georgia Institute of Technology GT Offroad	OK	0.00	0.00	0.00
17	Hindustan University STALWARTZ RACING	OK	0.00	1.00	0.00
26	Florida A&M Univ/Florida State Univ F-Racing	OK	0.00	0.00	0.00
24	Manhattan College Jasper Racing	OK	0.00	0.00	0.00
47	Ohio State Univ Baja Buckeyes	OK	0.00	7.00	0.00
58	PEC University of Technology TEAM RPM	OK	0.00	0.00	0.00
65	Louisiana Tech Univ Mud Dawg Racing	OK	0.00	0.00	0.00
66	Purdue Univ - Calumet PUC Motorsports	OK	0.00	8.00	0.00
68	Middle Tennessee State Univ MTSU Motorsports	OK	0.00	4.00	0.00
78	Univ of Nevada - Las Vegas Rebel Racing	OK	0.00	0.00	0.00
74	George Washington Univ GW Colonial Racing	OK	0.00	7.00	0.00
81	Univ of New Orleans UNO	OK	0.00	0.00	0.00
87	US Military Academy Army Motorsports	OK	0.00	0.00	0.00
88	Florida Inst of Tech Florida Tech Motorsports	OK	0.00	0.00	0.00
94	Kansas State Univ - Salina Baja Salina	OK	0.00	6.00	0.00
92	Univ of Arkansas- Fort Smith UAFS	OK	0.00	1.00	0.00
98	Christian Brothers Univ Mud Bucs	OK	0.00	7.00	0.00
103	Illinois Institute of Technology IIT Motorsports	OK	0.00	10.00	0.00
107	Georgia Institute of Technology GT Offroad	OK	0.00	0.00	0.00
110	Universidad Autonoma Estado Mexico Sara Juana RT	OK	0.00	1.00	0.00
126	Univ of South Carolina University of South Carolina	OK	0.00	8.00	0.00
